First Name	Last Name 	Email Address	Campus	
Cannon	Hendrix	Cannon.Hendrix@yahoo.com	Auckland, Wellington, Christchurch	
Zhuri	Chambers	Zhuri.Chambers@yahoo.com	Auckland, Wellington, Christchurch	
Orion	Beasley	Orion.Beasley@yahoo.com	Auckland, Wellington, Christchurch	
Jaylah	Fleming	Jaylah.Fleming@yahoo.com	Auckland, Wellington, Christchurch	
Fernando	Andersen	Fernando.Andersen@yahoo.com	Auckland, Wellington, Christchurch	
Zoie	Watkins	Zoie.Watkins@yahoo.com	Auckland, Wellington, Christchurch	
Nash	Hammond	Nash.Hammond@yahoo.com	Auckland, Wellington, Christchurch	
Holly	Ballard	Holly.Ballard@yahoo.com	Auckland, Wellington, Christchurch	
Kenzo	Hebert	Kenzo.Hebert@yahoo.com	Auckland, Wellington, Christchurch	
Kyleigh	Bernard	Kyleigh.Bernard@yahoo.com	Auckland, Wellington, Christchurch	
Jair	Farrell	Jair.Farrell@yahoo.com	Auckland, Wellington, Christchurch	
Kassidy	Ward	Kassidy.Ward@yahoo.com	Auckland, Wellington, Christchurch	
Jameson	Francis	Jameson.Francis@yahoo.com	Auckland, Wellington, Christchurch	
Daniella	McDowell	Daniella.McDowell@yahoo.com	Auckland, Wellington, Christchurch	
Lachlan	Avila	Lachlan.Avila@yahoo.com	Auckland, Wellington, Christchurch	
Amiyah	Lee	Amiyah.Lee@yahoo.com	Auckland, Wellington, Christchurch	
Jack	Chambers	Jack.Chambers@yahoo.com	Auckland, Wellington, Christchurch	
Makayla	Cano	Makayla.Cano@yahoo.com	Auckland, Wellington, Christchurch	
Terry	Kim	Terry.Kim@yahoo.com	Auckland, Wellington, Christchurch	
Gabriella	Foley	Gabriella.Foley@yahoo.com	Auckland, Wellington, Christchurch	
Mohammad	Wilcox	Mohammad.Wilcox@yahoo.com	Auckland, Wellington, Christchurch	
Ashlyn	Bond	Ashlyn.Bond@yahoo.com	Auckland, Wellington, Christchurch	
Roger	Watts	Roger.Watts@yahoo.com	Auckland, Wellington, Christchurch	
Melissa	Everett	Melissa.Everett@yahoo.com	Auckland, Wellington, Christchurch	
Camilo	Edwards	Camilo.Edwards@yahoo.com	Auckland, Wellington, Christchurch	
Ivy	Randolph	Ivy.Randolph@yahoo.com	Auckland, Wellington, Christchurch	
Eugene	Crosby	Eugene.Crosby@yahoo.com	Auckland, Wellington, Christchurch	
