firstname,lastname,email,campus
Nicholas,Houston,nicholas.houston@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Amy,Anderson,amy.anderson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Craig,Williams,craig.williams@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Karen,Klein,karen.klein@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Courtney,Garcia,courtney.garcia@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
William,Delacruz,william.delacruz@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
John,Jackson,john.jackson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Deanna,Rodriguez,deanna.rodriguez@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Brian,White,brian.white@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Katelyn,Smith,katelyn.smith@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Tiffany,Moss,tiffany.moss@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Joan,Nguyen,joan.nguyen@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Craig,Sparks,craig.sparks@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Hayley,Pollard,hayley.pollard@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Tracy,Hill,tracy.hill@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Eugene,Williams,eugene.williams@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Gail,Ford,gail.ford@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Robert,Williams,robert.williams@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Christy,Hughes,christy.hughes@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jackie,Elliott,jackie.elliott@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Dawn,Benton,dawn.benton@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Timothy,Dominguez,timothy.dominguez@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
John,Dean,john.dean@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Kenneth,Chavez,kenneth.chavez@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Lisa,Harrell,lisa.harrell@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Johnathan,Martinez,johnathan.martinez@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Erika,Chavez,erika.chavez@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jessica,Sawyer,jessica.sawyer@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Reginald,Scott,reginald.scott@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Steven,Kelly,steven.kelly@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Courtney,Washington,courtney.washington@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Adrian,Gilmore,adrian.gilmore@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Andrea,Hartman,andrea.hartman@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Terri,Le,terri.le@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Renee,Mcconnell,renee.mcconnell@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Christian,Miller,christian.miller@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Deanna,Wheeler,deanna.wheeler@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Nathan,Carter,nathan.carter@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Michelle,Watkins,michelle.watkins@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Kathryn,Krause,kathryn.krause@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Veronica,York,veronica.york@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Corey,Johnson,corey.johnson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Aaron,Padilla,aaron.padilla@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jeffery,Jones,jeffery.jones@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Martin,Gilbert,martin.gilbert@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Nicholas,Ross,nicholas.ross@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Matthew,Lewis,matthew.lewis@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Phillip,Bowen,phillip.bowen@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Renee,Allen,renee.allen@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Anthony,Sweeney,anthony.sweeney@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Ann,Hurst,ann.hurst@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Susan,Freeman,susan.freeman@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
David,Horton,david.horton@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Tara,Woodard,tara.woodard@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Amy,Olson,amy.olson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Alison,Lee,alison.lee@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Brad,Wood,brad.wood@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Kristin,Miller,kristin.miller@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Christina,Sims,christina.sims@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
David,Barron,david.barron@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Christina,Snyder,christina.snyder@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Barry,Simmons,barry.simmons@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Lauren,Young,lauren.young@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Troy,Pearson,troy.pearson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Amanda,Hayes,amanda.hayes@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jason,Miller,jason.miller@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Rebecca,Austin,rebecca.austin@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Mark,Porter,mark.porter@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jennifer,Banks,jennifer.banks@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Lisa,Berry,lisa.berry@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Shannon,Leon,shannon.leon@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Stephen,Smith,stephen.smith@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Marcus,Robinson,marcus.robinson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Alexandria,Goodman,alexandria.goodman@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Sarah,Hunt,sarah.hunt@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Scott,Lynch,scott.lynch@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jaclyn,Brown,jaclyn.brown@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Alexandra,Briggs,alexandra.briggs@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
David,Kelly,david.kelly@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Chad,Webb,chad.webb@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Thomas,Conway,thomas.conway@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Michael,Hughes,michael.hughes@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Lisa,Anderson,lisa.anderson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Daniel,Moore,daniel.moore@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Carol,Bailey,carol.bailey@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Paul,Cook,paul.cook@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Amy,Hubbard,amy.hubbard@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Lisa,Williams,lisa.williams@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Ronald,Jones,ronald.jones@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Christopher,Massey,christopher.massey@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Cody,Arnold,cody.arnold@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Leslie,Montoya,leslie.montoya@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Vanessa,Nolan,vanessa.nolan@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Christine,Yang,christine.yang@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Brenda,Lopez,brenda.lopez@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Eric,Hobbs,eric.hobbs@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Franklin,Reed,franklin.reed@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Brendan,Turner,brendan.turner@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Gary,Franco,gary.franco@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Robyn,Shelton,robyn.shelton@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Justin,Smith,justin.smith@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Lori,Chapman,lori.chapman@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Melissa,Morris,melissa.morris@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Rebecca,Skinner,rebecca.skinner@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Carl,Fox,carl.fox@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Rebecca,Vang,rebecca.vang@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Michael,Levy,michael.levy@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Tina,Valentine,tina.valentine@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Kristen,Soto,kristen.soto@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Carol,Walker,carol.walker@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Ryan,Hoffman,ryan.hoffman@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Vanessa,Rodriguez,vanessa.rodriguez@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Arthur,Phillips,arthur.phillips@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Catherine,Wilson,catherine.wilson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Ashley,Morris,ashley.morris@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Vickie,Alvarez,vickie.alvarez@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Daniel,Ellis,daniel.ellis@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Wanda,Charles,wanda.charles@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Anne,Thompson,anne.thompson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Paula,Ross,paula.ross@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Andrea,Mathis,andrea.mathis@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Kevin,Goodwin,kevin.goodwin@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Johnathan,Hood,johnathan.hood@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jodi,Long,jodi.long@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Kevin,Berry,kevin.berry@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Tyler,Gutierrez,tyler.gutierrez@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Brad,Potter,brad.potter@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Robin,Morales,robin.morales@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Kari,Bishop,kari.bishop@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Dustin,Martinez,dustin.martinez@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Melissa,Taylor,melissa.taylor@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Brad,Daniels,brad.daniels@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
William,Frost,william.frost@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Joel,Jackson,joel.jackson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
William,Fisher,william.fisher@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jennifer,Stark,jennifer.stark@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Tammy,Watson,tammy.watson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Angela,Cross,angela.cross@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Craig,Wright,craig.wright@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jacqueline,Hoffman,jacqueline.hoffman@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Tamara,Medina,tamara.medina@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Christine,Curtis,christine.curtis@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Samantha,Smith,samantha.smith@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Julie,Matthews,julie.matthews@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Johnny,Hughes,johnny.hughes@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Justin,Jackson,justin.jackson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Janet,Zimmerman,janet.zimmerman@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Leah,Stephens,leah.stephens@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
William,Conway,william.conway@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Marisa,Harris,marisa.harris@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Anna,Phillips,anna.phillips@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Teresa,Clayton,teresa.clayton@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Ryan,Newman,ryan.newman@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Patrick,Schmidt,patrick.schmidt@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Robert,Sullivan,robert.sullivan@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Crystal,Garner,crystal.garner@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Lisa,Browning,lisa.browning@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Stephanie,King,stephanie.king@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Chloe,Gonzalez,chloe.gonzalez@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
