firstname,lastname,qualification,age,campus,email,id
Tiffany,Tran,,32,Wellington,Tiffany.Tran@lecturer.whitecliffe.ac.nz,TifTra_WHITECLIFFE
Kristine,Hayes,,54,Dunedin,Kristine.Hayes@lecturer.whitecliffe.ac.nz,KriHay_WHITECLIFFE
Suzanne,Herrera,,58,Auckland,Suzanne.Herrera@lecturer.whitecliffe.ac.nz,SuzHer_WHITECLIFFE
Benjamin,Johnson,,27,Christchurch,Benjamin.Johnson@lecturer.whitecliffe.ac.nz,BenJoh_WHITECLIFFE
Eric,Stewart,,50,Christchurch,Eric.Stewart@lecturer.whitecliffe.ac.nz,EriSte_WHITECLIFFE
Christian,Brown,,22,Wellington,Christian.Brown@lecturer.whitecliffe.ac.nz,ChrBro_WHITECLIFFE
Derrick,Atkins,,48,Wellington,Derrick.Atkins@lecturer.whitecliffe.ac.nz,DerAtk_WHITECLIFFE
Brett,Jones,,56,Wellington,Brett.Jones@lecturer.whitecliffe.ac.nz,BreJon_WHITECLIFFE
Taylor,Davis,,70,Wellington,Taylor.Davis@lecturer.whitecliffe.ac.nz,TayDav_WHITECLIFFE
Emily,Garcia,,46,Christchurch,Emily.Garcia@lecturer.whitecliffe.ac.nz,EmiGar_WHITECLIFFE
Kenneth,Wilson,,51,Christchurch,Kenneth.Wilson@lecturer.whitecliffe.ac.nz,KenWil_WHITECLIFFE
Brandon,Green,,36,Auckland,Brandon.Green@lecturer.whitecliffe.ac.nz,BraGre_WHITECLIFFE
Sylvia,Park,,29,Hamilton,Sylvia.Park@lecturer.whitecliffe.ac.nz,SylPar_WHITECLIFFE
Alejandro,Davidson,,46,Auckland,Alejandro.Davidson@lecturer.whitecliffe.ac.nz,AleDav_WHITECLIFFE
Danielle,Walters,,46,Christchurch,Danielle.Walters@lecturer.whitecliffe.ac.nz,DanWal_WHITECLIFFE
Jennifer,Kramer,,53,Dunedin,Jennifer.Kramer@lecturer.whitecliffe.ac.nz,JenKra_WHITECLIFFE
Adrian,Black,,21,Auckland,Adrian.Black@lecturer.whitecliffe.ac.nz,AdrBla_WHITECLIFFE
Eric,Rhodes,,49,Auckland,Eric.Rhodes@lecturer.whitecliffe.ac.nz,EriRho_WHITECLIFFE
Edward,Stewart,,25,Wellington,Edward.Stewart@lecturer.whitecliffe.ac.nz,EdwSte_WHITECLIFFE
Ian,Johnson,,60,Auckland,Ian.Johnson@lecturer.whitecliffe.ac.nz,IanJoh_WHITECLIFFE
Alejandro,Phillips,,57,Auckland,Alejandro.Phillips@lecturer.whitecliffe.ac.nz,AlePhi_WHITECLIFFE
Gabriel,Gill,,21,Auckland,Gabriel.Gill@lecturer.whitecliffe.ac.nz,GabGil_WHITECLIFFE
Jessica,Warren,,21,Wellington,Jessica.Warren@lecturer.whitecliffe.ac.nz,JesWar_WHITECLIFFE
Dominique,Romero,,42,Wellington,Dominique.Romero@lecturer.whitecliffe.ac.nz,DomRom_WHITECLIFFE
Stephen,Clark,,60,Auckland,Stephen.Clark@lecturer.whitecliffe.ac.nz,SteCla_WHITECLIFFE
Elizabeth,Lara,,53,Auckland,Elizabeth.Lara@lecturer.whitecliffe.ac.nz,EliLar_WHITECLIFFE
Rebecca,Garcia,,43,Auckland,Rebecca.Garcia@lecturer.whitecliffe.ac.nz,RebGar_WHITECLIFFE
Anthony,Pearson,,51,Christchurch,Anthony.Pearson@lecturer.whitecliffe.ac.nz,AntPea_WHITECLIFFE
Julie,Gonzalez,,70,Wellington,Julie.Gonzalez@lecturer.whitecliffe.ac.nz,JulGon_WHITECLIFFE
Timothy,Roberts,,22,Dunedin,Timothy.Roberts@lecturer.whitecliffe.ac.nz,TimRob_WHITECLIFFE
